GEOID,NAME,avg_ndvi
22057,Lafourche,0.38254675324675325
22065,Madison,0.4338033333333333
22071,Orleans,0.2250416666666667
22077,Pointe Coupee,0.3668327272727273
22081,Red River,0.3529916666666667
38067,Pembina,0.32894
38077,Richland,0.3426454545454546
39035,Cuyahoga,0.055366666666666675
39043,Erie,0.0404
47049,Fentress,0.86446875
39067,Harrison,0.5048734693877551
39121,Noble,0.6468533333333334
39161,Van Wert,0.01216046511627907
40013,Bryan,0.10335842696629213
40023,Choctaw,0.029943037974683548
26083,Keweenaw,0.570822807017544
26097,Mackinac,0.1546863247863248
26099,Macomb,0.04580000000000001
26103,Marquette,0.47733301886792456
27013,Blue Earth,0.24924886363636364
27027,Clay,0.34903414634146346
27039,Dodge,0.3133326530612245
27053,Hennepin,0.5564904761904762
27073,Lac qui Parle,0.18814222222222224
27087,Mahnomen,0.36160147058823533
27097,Morrison,0.5105560283687943
27119,Polk,0.3511008547008547
27145,Stearns,0.4746968152866242
27163,Washington,0.5899604651162791
27165,Watonwan,0.171136
27173,Yellow Medicine,0.19003132530120484
28033,DeSoto,0.4750851851851852
28035,Forrest,0.3945958333333333
28053,Humphreys,0.32560740740740746
28083,Leflore,0.2555074074074074
28089,Madison,0.46179722222222225
28103,Noxubee,0.39745970149253734
28109,Pearl River,0.3729594936708861
28121,Rankin,0.4972883116883117
28131,Stone,0.4688184210526316
28137,Tate,0.4711186046511627
28143,Tunica,0.22400652173913047
28157,Wilkinson,0.5680303030303032
29037,Cass,-0.01741025641025641
29087,Holt,-0.01260204081632653
29095,Jackson,-0.010858730158730158
29099,Jefferson,0.5548845070422536
29143,New Madrid,0.3807925373134329
29153,Ozark,0.8194922077922079
29183,St. Charles,0.4200245614035088
29195,Saline,0.0049812500000000004
29205,Shelby,0.04867142857142858
30003,Big Horn,0.016787479131886482
30007,Broadwater,0.010946621621621622
30015,Chouteau,0.010457056451612903
30031,Gallatin,0.026682084690553744
30035,Glacier,0.0020928
30045,Judith Basin,0.0020327433628318584
30049,Lewis and Clark,0.0007992840095465393
30051,Liberty,0.0028274285714285714
30069,Petroleum,0.015502955665024631
30071,Phillips,0.09112496147919877
30081,Ravalli,0.010255319148936171
30085,Roosevelt,0.2129204152249135
48431,Sterling,0.1002915789473684
48449,Titus,0.3932511111111111
48459,Upshur,0.24436896551724138
48465,Val Verde,0.16278044871794872
48469,Victoria,0.33647023809523813
48473,Waller,0.5926156862745098
48475,Ward,0.06321647058823529
48479,Webb,0.38242392638036815
49029,Morgan,0.2671712121212121
49035,Salt Lake,0.20461975308641978
49043,Summit,0.10787846889952153
49047,Uintah,0.07624055118110236
49057,Weber,0.2846857142857143
50009,Essex,0.09125974025974028
51001,Accomack,0.6082486486486487
51005,Alleghany,0.6199354166666667
51007,Amelia,0.6954769230769232
51015,Augusta,0.6484970873786409
51021,Bland,0.617972972972973
51029,Buckingham,0.46520983606557376
51031,Campbell,0.45827222222222225
51035,Carroll,0.7191333333333334
51037,Charlotte,0.753070588235294
51053,Dinwiddie,0.763198076923077
51061,Fauquier,0.5909739130434782
51067,Franklin,0.33704142857142855
51081,Greensville,0.6004100000000001
51085,Hanover,0.6101816326530612
51091,Highland,0.43847045454545464
51099,King George,0.4289818181818182
51101,King William,0.7180433333333334
51109,Louisa,0.643045283018868
51119,Middlesex,0.6541083333333334
51127,New Kent,0.7525272727272728
35041,Roosevelt,0.0062180722891566256
35051,Sierra,0.16852786885245902
36009,Cattaraugus,0.18861554054054055
36013,Chautauqua,0.18844344262295087
36017,Chenango,0.23953495145631068
36019,Clinton,0.05476218487394958
36031,Essex,0.20623317535545027
36091,Saratoga,0.23999891304347828
36105,Sullivan,0.19465871559633027
36111,Ulster,0.21393333333333334
36119,Westchester,0.34148
37007,Anson,0.6344105263157895
37019,Brunswick,0.5542451219512196
37021,Buncombe,0.5672391304347826
37029,Camden,0.6114875000000001
37031,Carteret,0.6521833333333334
37039,Cherokee,0.8349086956521738
37049,Craven,0.6332175675675675
37053,Currituck,0.5884380952380952
37055,Dare,0.6929424242424242
37059,Davie,0.5836857142857144
37075,Graham,0.8714366666666666
37079,Greene,0.5291620689655173
37089,Henderson,0.46820540540540545
37099,Jackson,0.709546
37103,Jones,0.5941229166666667
37113,Macon,0.7600222222222223
