"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Fremont County, CO"	"08043"	"2008"	"2008"	54	47166	114.5
	"Garfield County, CO"	"08045"	"2008"	"2008"	27	55449	48.7
	"Huerfano County, CO"	"08055"	"2008"	"2008"	17	7073	Unreliable
	"Jefferson County, CO"	"08059"	"2008"	"2008"	456	529003	86.2
	"Kit Carson County, CO"	"08063"	"2008"	"2008"	13	8157	Unreliable
	"Lake County, CO"	"08065"	"2008"	"2008"	10	7450	Unreliable
	"La Plata County, CO"	"08067"	"2008"	"2008"	30	50291	59.7
	"Larimer County, CO"	"08069"	"2008"	"2008"	187	291650	64.1
	"Las Animas County, CO"	"08071"	"2008"	"2008"	14	15770	Unreliable
	"Logan County, CO"	"08075"	"2008"	"2008"	21	22128	94.9
	"Mesa County, CO"	"08077"	"2008"	"2008"	182	143155	127.1
	"Moffat County, CO"	"08081"	"2008"	"2008"	12	13585	Unreliable
	"Montezuma County, CO"	"08083"	"2008"	"2008"	44	25222	174.5
	"Montrose County, CO"	"08085"	"2008"	"2008"	43	40658	105.8
	"Morgan County, CO"	"08087"	"2008"	"2008"	19	27701	Unreliable
	"Otero County, CO"	"08089"	"2008"	"2008"	40	18726	213.6
	"Prowers County, CO"	"08099"	"2008"	"2008"	26	12663	205.3
	"Pueblo County, CO"	"08101"	"2008"	"2008"	184	156748	117.4
	"Rio Grande County, CO"	"08105"	"2008"	"2008"	18	11860	Unreliable
	"Routt County, CO"	"08107"	"2008"	"2008"	11	23135	Unreliable
	"Weld County, CO"	"08123"	"2008"	"2008"	156	243442	64.1
	"Yuma County, CO"	"08125"	"2008"	"2008"	13	9843	Unreliable
	"Fairfield County, CT"	"09001"	"2008"	"2008"	624	903824	69.0
	"Hartford County, CT"	"09003"	"2008"	"2008"	802	887891	90.3
	"Litchfield County, CT"	"09005"	"2008"	"2008"	182	190175	95.7
	"Middlesex County, CT"	"09007"	"2008"	"2008"	134	164962	81.2
	"New Haven County, CT"	"09009"	"2008"	"2008"	740	856622	86.4
	"New London County, CT"	"09011"	"2008"	"2008"	244	272634	89.5
	"Tolland County, CT"	"09013"	"2008"	"2008"	85	151583	56.1
	"Windham County, CT"	"09015"	"2008"	"2008"	99	117888	84.0
	"Kent County, DE"	"10001"	"2008"	"2008"	158	157925	100.0
	"New Castle County, DE"	"10003"	"2008"	"2008"	397	533958	74.4
	"Sussex County, DE"	"10005"	"2008"	"2008"	185	191991	96.4
	"District of Columbia, DC"	"11001"	"2008"	"2008"	295	580236	50.8
	"Alachua County, FL"	"12001"	"2008"	"2008"	127	244888	51.9
	"Baker County, FL"	"12003"	"2008"	"2008"	27	26725	101.0
	"Bay County, FL"	"12005"	"2008"	"2008"	153	166267	92.0
	"Bradford County, FL"	"12007"	"2008"	"2008"	24	28961	82.9
	"Brevard County, FL"	"12009"	"2008"	"2008"	584	542378	107.7
	"Broward County, FL"	"12011"	"2008"	"2008"	1106	1723633	64.2
	"Calhoun County, FL"	"12013"	"2008"	"2008"	19	14351	Unreliable
	"Charlotte County, FL"	"12015"	"2008"	"2008"	221	160467	137.7
	"Citrus County, FL"	"12017"	"2008"	"2008"	239	142122	168.2
	"Clay County, FL"	"12019"	"2008"	"2008"	151	187289	80.6
	"Collier County, FL"	"12021"	"2008"	"2008"	226	316641	71.4
	"Columbia County, FL"	"12023"	"2008"	"2008"	87	67318	129.2
	"DeSoto County, FL"	"12027"	"2008"	"2008"	27	34374	78.5
	"Dixie County, FL"	"12029"	"2008"	"2008"	15	16214	Unreliable
	"Duval County, FL"	"12031"	"2008"	"2008"	685	855437	80.1
	"Escambia County, FL"	"12033"	"2008"	"2008"	322	296854	108.5
	"Flagler County, FL"	"12035"	"2008"	"2008"	76	93546	81.2
	"Franklin County, FL"	"12037"	"2008"	"2008"	16	11484	Unreliable
	"Gadsden County, FL"	"12039"	"2008"	"2008"	37	46319	79.9
	"Gilchrist County, FL"	"12041"	"2008"	"2008"	21	16797	125.0
	"Gulf County, FL"	"12045"	"2008"	"2008"	17	15851	Unreliable
	"Hamilton County, FL"	"12047"	"2008"	"2008"	11	14785	Unreliable
	"Hardee County, FL"	"12049"	"2008"	"2008"	25	27603	90.6
	"Hendry County, FL"	"12051"	"2008"	"2008"	24	39177	61.3
	"Hernando County, FL"	"12053"	"2008"	"2008"	214	172437	124.1
	"Highlands County, FL"	"12055"	"2008"	"2008"	169	99568	169.7
	"Hillsborough County, FL"	"12057"	"2008"	"2008"	824	1196773	68.9
	"Holmes County, FL"	"12059"	"2008"	"2008"	28	20141	139.0
	"Indian River County, FL"	"12061"	"2008"	"2008"	143	136277	104.9
	"Jackson County, FL"	"12063"	"2008"	"2008"	39	50272	77.6
	"Jefferson County, FL"	"12065"	"2008"	"2008"	16	14606	Unreliable
	"Lafayette County, FL"	"12067"	"2008"	"2008"	10	8465	Unreliable
	"Lake County, FL"	"12069"	"2008"	"2008"	304	293654	103.5
	"Lee County, FL"	"12071"	"2008"	"2008"	513	610984	84.0
	"Leon County, FL"	"12073"	"2008"	"2008"	157	271130	57.9
	"Levy County, FL"	"12075"	"2008"	"2008"	53	40809	129.9
	"Madison County, FL"	"12079"	"2008"	"2008"	20	19347	103.4
